date,ticker,LAST_PRICE,sector
1970-01-02,SPX,93,Index
1970-01-05,SPX,93.46,Index
1970-01-06,SPX,92.82,Index
1970-01-07,SPX,92.63,Index
1970-01-08,SPX,92.68,Index
1970-01-09,SPX,92.4,Index
1970-01-12,SPX,91.7,Index
1970-01-13,SPX,91.79,Index
1970-01-14,SPX,91.65,Index
1970-01-15,SPX,91.68,Index
1970-01-16,SPX,90.92,Index
1970-01-19,SPX,89.65,Index
1970-01-20,SPX,89.83,Index
1970-01-21,SPX,89.91,Index
1970-01-22,SPX,89.95,Index
1970-01-23,SPX,89.07,Index
1970-01-26,SPX,88.17,Index
1970-01-27,SPX,87.62,Index
1970-01-28,SPX,86.79,Index
1970-01-29,SPX,85.69,Index
1970-01-30,SPX,85.02,Index
1970-02-02,SPX,85.75,Index
1970-02-03,SPX,86.77,Index
1970-02-04,SPX,86.24,Index
1970-02-05,SPX,85.9,Index
1970-02-06,SPX,86.33,Index
1970-02-09,SPX,87.01,Index
1970-02-10,SPX,86.1,Index
1970-02-11,SPX,86.94,Index
1970-02-12,SPX,86.73,Index
1970-02-13,SPX,86.54,Index
1970-02-16,SPX,86.47,Index
1970-02-17,SPX,86.37,Index
1970-02-18,SPX,87.44,Index
1970-02-19,SPX,87.76,Index
1970-02-20,SPX,88.03,Index
1970-02-24,SPX,87.99,Index
1970-02-25,SPX,89.35,Index
1970-02-26,SPX,88.9,Index
1970-02-27,SPX,89.5,Index
1970-03-02,SPX,89.71,Index
1970-03-03,SPX,90.23,Index
1970-03-04,SPX,90.04,Index
1970-03-05,SPX,90,Index
1970-03-06,SPX,89.44,Index
1970-03-09,SPX,88.51,Index
1970-03-10,SPX,88.75,Index
1970-03-11,SPX,88.69,Index
1970-03-12,SPX,88.33,Index
1970-03-13,SPX,87.86,Index
1970-03-16,SPX,86.91,Index
1970-03-17,SPX,87.29,Index
1970-03-18,SPX,87.54,Index
1970-03-19,SPX,87.42,Index
1970-03-20,SPX,87.06,Index
1970-03-23,SPX,86.99,Index
1970-03-24,SPX,87.98,Index
1970-03-25,SPX,89.77,Index
1970-03-26,SPX,89.92,Index
1970-03-30,SPX,89.63,Index
1970-03-31,SPX,89.63,Index
1970-04-01,SPX,90.07,Index
1970-04-02,SPX,89.79,Index
1970-04-03,SPX,89.39,Index
1970-04-06,SPX,88.76,Index
1970-04-07,SPX,88.52,Index
1970-04-08,SPX,88.49,Index
1970-04-09,SPX,88.53,Index
1970-04-10,SPX,88.24,Index
1970-04-13,SPX,87.64,Index
1970-04-14,SPX,86.89,Index
1970-04-15,SPX,86.73,Index
1970-04-16,SPX,85.88,Index
1970-04-17,SPX,85.67,Index
1970-04-20,SPX,85.83,Index
1970-04-21,SPX,85.38,Index
1970-04-22,SPX,84.27,Index
1970-04-23,SPX,83.04,Index
1970-04-24,SPX,82.77,Index
1970-04-27,SPX,81.46,Index
1970-04-28,SPX,80.27,Index
1970-04-29,SPX,81.81,Index
1970-04-30,SPX,81.52,Index
1970-05-01,SPX,81.44,Index
1970-05-04,SPX,79,Index
1970-05-05,SPX,78.6,Index
1970-05-06,SPX,79.47,Index
1970-05-07,SPX,79.83,Index
1970-05-08,SPX,79.44,Index
1970-05-11,SPX,78.6,Index
1970-05-12,SPX,77.85,Index
1970-05-13,SPX,76.53,Index
1970-05-14,SPX,75.44,Index
1970-05-15,SPX,76.9,Index
1970-05-18,SPX,76.96,Index
1970-05-19,SPX,75.46,Index
1970-05-20,SPX,73.52,Index
1970-05-21,SPX,72.16,Index
1970-05-22,SPX,72.25,Index
1970-05-25,SPX,70.25,Index
1970-05-26,SPX,69.29,Index
1970-05-27,SPX,72.77,Index
1970-05-28,SPX,74.61,Index
1970-05-29,SPX,76.55,Index
1970-06-01,SPX,77.84,Index
1970-06-02,SPX,77.84,Index
1970-06-03,SPX,78.52,Index
1970-06-04,SPX,77.36,Index
1970-06-05,SPX,76.17,Index
1970-06-08,SPX,76,Index
1970-06-09,SPX,76.25,Index
1970-06-10,SPX,75.48,Index
1970-06-11,SPX,74.45,Index
1970-06-12,SPX,74.21,Index
1970-06-15,SPX,74.38,Index
1970-06-16,SPX,76.15,Index
1970-06-17,SPX,76,Index
1970-06-18,SPX,76.51,Index
1970-06-19,SPX,77.05,Index
1970-06-22,SPX,76.64,Index
1970-06-23,SPX,74.76,Index
1970-06-24,SPX,73.97,Index
1970-06-25,SPX,74.02,Index
1970-06-26,SPX,73.47,Index
1970-06-29,SPX,72.89,Index
1970-06-30,SPX,72.72,Index
1970-07-01,SPX,73.04,Index
1970-07-02,SPX,72.92,Index
1970-07-06,SPX,71.78,Index
1970-07-07,SPX,71.23,Index
1970-07-08,SPX,73,Index
1970-07-09,SPX,74.06,Index
1970-07-10,SPX,74.57,Index
1970-07-13,SPX,74.48,Index
1970-07-14,SPX,74.42,Index
1970-07-15,SPX,75.23,Index
1970-07-16,SPX,76.34,Index
1970-07-17,SPX,77.69,Index
1970-07-20,SPX,77.72,Index
